parameter,true_value,posterior_median,lower_90,upper_90,interval_width,rel_error,recovered
beta,5.94187e-05,6.79368e-05,2.20069e-05,0.00017403,0.00015202310000000003,0.14335722592382524,True
delta,5.00028,5.29011,3.56055,7.40451,3.84396,0.05796275408577125,True
p_hat,0.799123,0.407537,0.143889,1.4497,1.305811,-0.4900196840786713,True
eps,0.00543349,0.00165633,0.000150555,0.0199072,0.019756645,-0.6951627775150041,True
c,2.48835,2.58564,2.05349,4.67319,2.6197,0.03909819760081986,True
s0,0.00113577,0.000252684,0.000111315,0.000925567,0.000814252,-0.7775218574183154,False
alpha,9.4759,9.28954,5.24182,14.1947,8.95288,-0.019666733502886138,True
V0,0.413642,5.37496,1.32211,22.3454,21.023290000000003,11.994231726952291,False
