parameter,true_value,posterior_median,lower_90,upper_90,interval_width,rel_error,recovered
beta,1.2461e-06,8.43491e-07,2.52117e-08,3.7873e-06,3.7620883000000003e-06,-0.32309525720247173,True
delta,1.87886,3.24525,0.947119,6.56092,5.6138010000000005,0.7272441799814782,True
p_hat,23.0178,21.9868,4.11897,617.598,613.47903,-0.04479142229057522,True
eps,0.0970244,0.00943975,0.00019926,2.18677,2.18657074,-0.9027074632772787,True
c,5.25208,3.52913,2.11657,8.76023,6.643660000000001,-0.3280509817062955,True
s0,1.33625e-05,0.00023444,0.000108238,0.00173756,0.0016293219999999999,16.544621141253508,False
alpha,6.35509,6.16922,1.21794,13.4672,12.24926,-0.02924742214508363,True
V0,26.8292,163.242,32.5804,1047.53,1014.9495999999999,5.0844900332473575,False
