,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
y_pred[9],4.1244,0.00501924,0.409863,0.405249,3.46677,4.1072,4.81428,6761.52,5634.5,0.873991,1.00083
y_pred[10],4.1244,0.00501924,0.409863,0.405249,3.46677,4.1072,4.81428,6761.52,5634.5,0.873991,1.00083
y_pred[11],6.31142,0.00554721,0.458885,0.452911,5.56315,6.30351,7.07079,6894.11,6142.3,0.891129,1.00102
y_pred[12],6.31142,0.00554721,0.458885,0.452911,5.56315,6.30351,7.07079,6894.11,6142.3,0.891129,1.00102
y_pred[13],6.31142,0.00554721,0.458885,0.452911,5.56315,6.30351,7.07079,6894.11,6142.3,0.891129,1.00102
y_pred[14],6.31142,0.00554721,0.458885,0.452911,5.56315,6.30351,7.07079,6894.11,6142.3,0.891129,1.00102
y_pred[15],6.31142,0.00554721,0.458885,0.452911,5.56315,6.30351,7.07079,6894.11,6142.3,0.891129,1.00102
y_pred[16],5.68251,0.00473816,0.451406,0.438942,4.92573,5.69345,6.40188,9067.03,6605.14,1.172,0.999753
y_pred[17],5.68251,0.00473816,0.451406,0.438942,4.92573,5.69345,6.40188,9067.03,6605.14,1.172,0.999753
y_pred[18],5.68251,0.00473816,0.451406,0.438942,4.92573,5.69345,6.40188,9067.03,6605.14,1.172,0.999753
y_pred[19],5.68251,0.00473816,0.451406,0.438942,4.92573,5.69345,6.40188,9067.03,6605.14,1.172,0.999753
y_pred[20],5.68251,0.00473816,0.451406,0.438942,4.92573,5.69345,6.40188,9067.03,6605.14,1.172,0.999753
y_pred[21],-2.96154,0.00531261,0.445423,0.444537,-3.71302,-2.95281,-2.25134,7072.03,5149.9,0.914127,1.00017
y_pred[22],-2.96154,0.00531261,0.445423,0.444537,-3.71302,-2.95281,-2.25134,7072.03,5149.9,0.914127,1.00017
y_pred[23],-2.96154,0.00531261,0.445423,0.444537,-3.71302,-2.95281,-2.25134,7072.03,5149.9,0.914127,1.00017
y_pred[24],-2.96154,0.00531261,0.445423,0.444537,-3.71302,-2.95281,-2.25134,7072.03,5149.9,0.914127,1.00017
y_pred[25],-2.96154,0.00531261,0.445423,0.444537,-3.71302,-2.95281,-2.25134,7072.03,5149.9,0.914127,1.00017
y_pred[26],-2.14848,0.00578334,0.532586,0.528997,-3.02259,-2.1427,-1.28354,8636.84,6591.67,1.11639,1.00033
y_pred[27],-2.14848,0.00578334,0.532586,0.528997,-3.02259,-2.1427,-1.28354,8636.84,6591.67,1.11639,1.00033
y_pred[28],-2.14848,0.00578334,0.532586,0.528997,-3.02259,-2.1427,-1.28354,8636.84,6591.67,1.11639,1.00033
y_pred[29],-2.14848,0.00578334,0.532586,0.528997,-3.02259,-2.1427,-1.28354,8636.84,6591.67,1.11639,1.00033
y_pred[30],-2.14848,0.00578334,0.532586,0.528997,-3.02259,-2.1427,-1.28354,8636.84,6591.67,1.11639,1.00033
y_pred[31],0.214695,0.00566481,0.487078,0.478325,-0.588439,0.218457,1.00854,7449.63,6365.27,0.962935,1.00002
y_pred[32],0.214695,0.00566481,0.487078,0.478325,-0.588439,0.218457,1.00854,7449.63,6365.27,0.962935,1.00002
y_pred[33],0.214695,0.00566481,0.487078,0.478325,-0.588439,0.218457,1.00854,7449.63,6365.27,0.962935,1.00002
y_pred[34],0.214695,0.00566481,0.487078,0.478325,-0.588439,0.218457,1.00854,7449.63,6365.27,0.962935,1.00002
y_pred[35],0.214695,0.00566481,0.487078,0.478325,-0.588439,0.218457,1.00854,7449.63,6365.27,0.962935,1.00002
y_pred[36],-0.502796,0.00949229,0.76382,0.772487,-1.81942,-0.460986,0.684991,6270.44,6020.04,0.810513,1.00032
y_pred[37],-0.502796,0.00949229,0.76382,0.772487,-1.81942,-0.460986,0.684991,6270.44,6020.04,0.810513,1.00032
y_pred[38],-0.502796,0.00949229,0.76382,0.772487,-1.81942,-0.460986,0.684991,6270.44,6020.04,0.810513,1.00032
y_pred[39],-0.502796,0.00949229,0.76382,0.772487,-1.81942,-0.460986,0.684991,6270.44,6020.04,0.810513,1.00032
y_pred[40],-0.502796,0.00949229,0.76382,0.772487,-1.81942,-0.460986,0.684991,6270.44,6020.04,0.810513,1.00032
R0,13.0784,0.0814641,6.57291,5.35453,5.54595,11.6436,25.9219,6620.7,5959.99,0.855788,1.00023
c_over_delta,3.65386,0.0405936,2.94475,2.09653,0.753475,2.79904,9.33146,4616.7,4037.11,0.596752,1.00003
log_lik[1],-2.83797,0.0123313,1.01587,0.950668,-4.68083,-2.69979,-1.45611,6087.31,4660.0,0.786842,1.00025
log_lik[2],-2.594,0.00688013,0.62168,0.563587,-3.74285,-2.49634,-1.75562,8416.37,6453.08,1.08789,1.00101
log_lik[3],-1.63757,0.00438424,0.348886,0.329658,-2.27062,-1.59889,-1.14671,6767.82,5845.95,0.874805,1.00059
log_lik[4],-2.04981,0.00536181,0.461273,0.4265,-2.91295,-1.98504,-1.41567,7804.08,6391.27,1.00875,1.001
log_lik[5],-2.83797,0.0123313,1.01587,0.950668,-4.68083,-2.69979,-1.45611,6087.31,4660.0,0.786842,1.00025
log_lik[6],-1.58342,0.00376697,0.312795,0.307006,-2.10683,-1.57215,-1.09106,6922.0,6770.75,0.894734,1.00079
log_lik[7],-1.18927,0.00272615,0.197762,0.19319,-1.52979,-1.17962,-0.884928,5622.8,5061.08,0.7268,1.00129
log_lik[8],-1.66282,0.00398744,0.333941,0.324366,-2.2301,-1.64693,-1.14414,6990.07,6861.62,0.903533,1.00085
