parameter,true_value,posterior_median,lower_90,upper_90,interval_width,rel_error,recovered
beta,3.51285e-07,3.55611e-07,3.77962e-08,1.4151e-06,1.3773038e-06,0.012314787138648206,True
delta,1.43756,2.19849,0.837175,5.31873,4.481555,0.5293205153176216,True
p_hat,98.1478,46.1598,9.35997,433.193,423.83303,-0.5296909355074694,True
eps,0.163645,0.0101908,0.000224537,0.287684,0.28745946299999997,-0.9377261755629565,True
c,5.7987,3.82845,2.16182,8.94823,6.78641,-0.3397744322003208,True
s0,0.000101884,0.000302377,0.000112838,0.00200185,0.0018890119999999998,1.967855600486828,False
alpha,3.41351,5.86533,1.91943,13.0071,11.08767,0.7182694645687284,True
V0,141.259,663.586,169.062,2587.16,2418.098,3.6976546627117566,False
