parameter,value
T0,400000000.0
V0,0.01
D0,292.1901531324939
beta_hat,0.000148188485547486
k,49.93973142785413
p,19.999286226805097
c,29.88167602524411
delta,19.97076194907208
d_dip,0.3010385903063384
h,3.024580794186662
epsilon3,9.467440385874993e-06
sse,4.0832584980707995
n_peaks,3
success,True
